count,dis,dis_label
204,http://purl.obolibrary.org/obo/MONDO_0007853,palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome
341,http://purl.obolibrary.org/obo/MONDO_0007856,palmoplantar keratoderma-esophageal carcinoma syndrome
4879,http://purl.obolibrary.org/obo/MONDO_0018094,Waardenburg syndrome
659,http://purl.obolibrary.org/obo/MONDO_0007863,Kleine-Levin syndrome
751,http://purl.obolibrary.org/obo/MONDO_0007864,angioosteohypertrophic syndrome
102,http://purl.obolibrary.org/obo/MONDO_0007880,congenital laryngeal web
2063,http://purl.obolibrary.org/obo/MONDO_0007892,Lenz-Majewski hyperostotic dwarfism
2618,http://purl.obolibrary.org/obo/MONDO_0007893,Noonan syndrome with multiple lentigines
48,http://purl.obolibrary.org/obo/MONDO_0007917,lymphedema-cerebral arteriovenous anomaly syndrome
1801,http://purl.obolibrary.org/obo/MONDO_0007918,"microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability"
488,http://purl.obolibrary.org/obo/MONDO_0007921,yellow nail syndrome
953,http://purl.obolibrary.org/obo/MONDO_0007922,lymphedema-distichiasis syndrome
892,http://purl.obolibrary.org/obo/MONDO_0009276,Bernard-Soulier syndrome
2005,http://purl.obolibrary.org/obo/MONDO_0007943,Nager acrofacial dysostosis
389,http://purl.obolibrary.org/obo/MONDO_0007946,jaw-winking syndrome
3253,http://purl.obolibrary.org/obo/MONDO_0007947,Marfan syndrome
302,http://purl.obolibrary.org/obo/MONDO_0007969,Melkersson-Rosenthal syndrome
1274,http://purl.obolibrary.org/obo/MONDO_0007982,"metaphyseal chondrodysplasia, Jansen type"
1068,http://purl.obolibrary.org/obo/MONDO_0007983,Schmid metaphyseal chondrodysplasia
224,http://purl.obolibrary.org/obo/MONDO_0007984,metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome
816,http://purl.obolibrary.org/obo/MONDO_0007993,microgastria-limb reduction defect syndrome
1798,http://purl.obolibrary.org/obo/MONDO_0008006,Mobius syndrome
132,http://purl.obolibrary.org/obo/MONDO_0008023,muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome
1983,http://purl.obolibrary.org/obo/MONDO_0008061,nail-patella syndrome
14123,http://purl.obolibrary.org/obo/MONDO_0018997,Noonan syndrome
322,http://purl.obolibrary.org/obo/MONDO_0008113,Schilbach-Rott syndrome
2243,http://purl.obolibrary.org/obo/MONDO_0015267,Feingold syndrome
48,http://purl.obolibrary.org/obo/MONDO_0008138,syndromic orbital border hypoplasia
202,http://purl.obolibrary.org/obo/MONDO_0008157,Buschke-Ollendorff syndrome
1816,http://purl.obolibrary.org/obo/MONDO_0016620,primary hypertrophic osteoarthropathy
961,http://purl.obolibrary.org/obo/MONDO_0008182,nasopalpebral lipoma-coloboma syndrome
5453,http://purl.obolibrary.org/obo/MONDO_0016120,myotonic syndrome
690,http://purl.obolibrary.org/obo/MONDO_0008201,Perry syndrome
1226,http://purl.obolibrary.org/obo/MONDO_0008262,Poland syndrome
117,http://purl.obolibrary.org/obo/MONDO_0008268,polydactyly-myopia syndrome
1348,http://purl.obolibrary.org/obo/MONDO_0008287,Greig cephalopolysyndactyly syndrome
12129,http://purl.obolibrary.org/obo/MONDO_0008300,Prader-Willi syndrome
102,http://purl.obolibrary.org/obo/MONDO_0008301,Guttmacher syndrome
1790,http://purl.obolibrary.org/obo/MONDO_0008310,Hutchinson-Gilford progeria syndrome
1420,http://purl.obolibrary.org/obo/MONDO_0008311,progeria-short stature-pigmented nevi syndrome
493,http://purl.obolibrary.org/obo/MONDO_0008323,Liddle syndrome
32,http://purl.obolibrary.org/obo/MONDO_0008341,ptosis-strabismus-ectopic pupils syndrome
166,http://purl.obolibrary.org/obo/MONDO_0008357,radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome
128,http://purl.obolibrary.org/obo/MONDO_0008358,radial ray hypoplasia-choanal atresia syndrome
